Levy,Prod. year,Engine volume,Mileage,Cylinders,Airbags,Category_encoded,Leather_binary,Wheel_binary,Fuel type_Diesel,Fuel type_Hybrid,Fuel type_Hydrogen,Fuel type_LPG,Fuel type_Petrol,Fuel type_Plug-in Hybrid,Gear box type_Manual,Gear box type_Tiptronic,Gear box type_Variator,Drive wheels_fwd,Drive wheels_rwd,Doors_group_le_4
781.0,1990,2.8,333333,4,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1990,2.8,222222,4,0,4,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1990,6.3,2000,8,0,10,1,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1990,0.3,18101,4,0,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1990,1.8,500,4,0,9,0,0,0,0,0,0,0,0,1,0,0,1,0,1
781.0,1990,2.0,500000,4,0,8,0,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1990,2.4,0,4,0,4,0,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1990,2.5,100000,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1990,1.5,0,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1990,2.0,237065,4,0,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1990,1.6,1111,4,2,9,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1990,2.0,111111,6,2,9,0,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1990,1.6,350000,4,11,3,0,0,0,0,0,0,1,0,1,0,0,1,0,1
781.0,1990,0.9,64525,4,0,4,1,0,0,0,0,0,1,0,1,0,0,0,0,1
781.0,1990,3.0,300000,6,0,9,1,0,0,0,0,0,1,0,1,0,0,0,1,1
781.0,1990,2.5,10000,4,0,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
781.0,1990,2.3,350000,4,0,9,0,0,0,0,0,0,0,0,0,0,0,0,1,1
781.0,1991,2.5,111111,7,1,6,0,0,1,0,0,0,0,0,1,0,0,0,1,1
